epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.369,1.49588,2.32073,1.51947,0.4283,0.27791,0.24618,0.1286,1.64214,2.20395,1.66575,0.000302481,0.000302481,0.000302481
2,355.932,1.60399,2.07359,1.63999,0.53506,0.35072,0.30792,0.17135,1.58925,2.21974,1.67076,0.000545539,0.000545539,0.000545539
3,523.684,1.60842,1.9991,1.63499,0.52735,0.39708,0.33937,0.18772,1.55063,1.97036,1.59203,0.000728602,0.000728602,0.000728602
4,690.991,1.48508,1.74681,1.54314,0.63076,0.46547,0.44816,0.25461,1.47133,1.6749,1.55174,0.000639027,0.000639027,0.000639027
5,858.39,1.38414,1.53327,1.46338,0.71191,0.50046,0.56343,0.34104,1.33511,1.39108,1.45034,0.000549036,0.000549036,0.000549036
6,1025.81,1.30153,1.36408,1.40576,0.70848,0.5522,0.58067,0.35523,1.24199,1.3168,1.3961,0.000459045,0.000459045,0.000459045
7,1192.7,1.21031,1.19875,1.34335,0.74792,0.61424,0.6668,0.43078,1.18692,1.09864,1.34824,0.000369054,0.000369054,0.000369054
8,1359.93,1.13812,1.05465,1.29883,0.83588,0.64101,0.74075,0.49835,1.10041,0.976,1.26888,0.000279063,0.000279063,0.000279063
9,1526.6,1.05986,0.9275,1.23818,0.88422,0.65327,0.76472,0.53518,1.05353,0.87562,1.24885,0.000189072,0.000189072,0.000189072
10,1693.45,0.99515,0.8182,1.19772,0.89885,0.68495,0.78556,0.56446,0.99979,0.77968,1.21767,9.9081e-05,9.9081e-05,9.9081e-05
