epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25346.3,1.49801,2.35566,1.42602,0.61053,0.26516,0.26534,0.13123,1.66528,2.36568,1.62656,0.000302481,0.000302481,0.000302481
2,25478.5,1.59395,2.01235,1.52192,0.56755,0.37017,0.36324,0.19693,1.5714,1.93532,1.53282,0.000545539,0.000545539,0.000545539
3,25611.7,1.54041,1.83746,1.51449,0.59977,0.42275,0.44774,0.25713,1.48495,1.73041,1.4898,0.000728602,0.000728602,0.000728602
4,25746.9,1.47208,1.695,1.46766,0.60917,0.50404,0.48442,0.28583,1.43899,1.56538,1.4341,0.000639027,0.000639027,0.000639027
5,25882.9,1.36326,1.45575,1.3828,0.70297,0.56052,0.59521,0.38174,1.30523,1.33346,1.33999,0.000549036,0.000549036,0.000549036
6,26016,1.26795,1.26684,1.3106,0.73858,0.59879,0.65336,0.4244,1.217,1.15738,1.29359,0.000459045,0.000459045,0.000459045
7,26149.9,1.18522,1.1189,1.25725,0.79362,0.63136,0.72882,0.47988,1.17135,0.99109,1.25712,0.000369054,0.000369054,0.000369054
8,26282.8,1.11986,0.99093,1.22559,0.8522,0.6635,0.75591,0.52404,1.10645,0.92936,1.21315,0.000279063,0.000279063,0.000279063
9,26414.3,1.047,0.87382,1.16735,0.85919,0.69913,0.78524,0.54703,1.06289,0.82968,1.19147,0.000189072,0.000189072,0.000189072
10,26545.8,0.98953,0.77581,1.13556,0.88122,0.69158,0.79662,0.57229,0.99779,0.76519,1.15078,9.9081e-05,9.9081e-05,9.9081e-05
