epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2652,1.49145,3.09313,1.3832,0.4696,0.34898,0.30093,0.16069,1.47293,1.98457,1.38388,0.000302481,0.000302481,0.000302481
2,105.518,1.42663,2.25929,1.34325,0.53625,0.50715,0.45294,0.27258,1.36764,1.68212,1.30346,0.000545539,0.000545539,0.000545539
3,155.589,1.39285,1.92671,1.32389,0.57192,0.49148,0.45543,0.27753,1.39894,1.65032,1.33008,0.000728602,0.000728602,0.000728602
4,206.804,1.32207,1.66718,1.28327,0.69611,0.50852,0.56088,0.35532,1.30706,1.44226,1.28173,0.000639027,0.000639027,0.000639027
5,256.821,1.25645,1.44221,1.23165,0.7623,0.56541,0.62132,0.41824,1.20943,1.21007,1.19934,0.000549036,0.000549036,0.000549036
6,310.003,1.18565,1.26404,1.18595,0.80046,0.62118,0.67798,0.46038,1.16743,1.09462,1.1688,0.000459045,0.000459045,0.000459045
7,364.348,1.13178,1.14168,1.15596,0.80359,0.65189,0.71107,0.48737,1.1096,1.01419,1.14852,0.000369054,0.000369054,0.000369054
8,419.714,1.07018,1.03587,1.12882,0.8519,0.66293,0.75181,0.52088,1.07795,0.94634,1.11979,0.000279063,0.000279063,0.000279063
9,474.652,1.03779,0.95207,1.10043,0.8751,0.68908,0.76594,0.54079,1.01973,0.89807,1.08307,0.000189072,0.000189072,0.000189072
10,529.083,0.98987,0.87804,1.07213,0.8738,0.70148,0.79233,0.565,0.99041,0.8388,1.07468,9.9081e-05,9.9081e-05,9.9081e-05
