epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.833,1.45336,2.48841,1.37156,0.50209,0.41792,0.34421,0.19261,1.44252,1.85735,1.35905,0.000302481,0.000302481,0.000302481
2,155.786,1.43035,1.72776,1.35529,0.65164,0.46124,0.48616,0.29586,1.40583,1.59802,1.33235,0.000545539,0.000545539,0.000545539
3,224.231,1.40988,1.58165,1.34892,0.71771,0.48158,0.55831,0.32165,1.41028,1.46224,1.33753,0.000728602,0.000728602,0.000728602
4,295.784,1.32354,1.3982,1.28442,0.70758,0.55754,0.62922,0.38558,1.29135,1.26662,1.27544,0.000639027,0.000639027,0.000639027
5,369.705,1.25068,1.18525,1.23937,0.68163,0.65511,0.6973,0.46234,1.19192,1.10454,1.19418,0.000549036,0.000549036,0.000549036
6,442.35,1.16345,1.04359,1.17848,0.78612,0.64239,0.73264,0.47751,1.16691,1.03011,1.18135,0.000459045,0.000459045,0.000459045
7,514.932,1.10571,0.94722,1.14512,0.8397,0.69187,0.78356,0.5314,1.09109,0.88469,1.13761,0.000369054,0.000369054,0.000369054
8,601.489,1.05326,0.84484,1.11891,0.79768,0.76088,0.81951,0.5656,1.0439,0.80705,1.10155,0.000279063,0.000279063,0.000279063
9,697.691,0.98766,0.74873,1.08306,0.74179,0.79268,0.82605,0.57142,1.00919,0.77386,1.08719,0.000189072,0.000189072,0.000189072
10,776.167,0.93779,0.678,1.05218,0.85598,0.79107,0.8533,0.61453,0.96445,0.72079,1.05404,9.9081e-05,9.9081e-05,9.9081e-05
