epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1640.05,1.62509,2.53245,1.64785,0.41166,0.22152,0.1,0.04903,1.87352,5.66984,2.00569,0.000302481,0.000302481,0.000302481
2,3243.4,1.73655,2.33584,1.78106,0.38829,0.28313,0.1927,0.09534,1.77111,2.57856,1.83696,0.000545539,0.000545539,0.000545539
3,4714.38,1.70093,2.14534,1.72355,0.49403,0.32311,0.29987,0.16396,1.64185,1.97346,1.69882,0.000728602,0.000728602,0.000728602
4,6464.78,1.57717,1.94154,1.6427,0.52199,0.3982,0.36206,0.20562,1.48148,1.77129,1.58269,0.000639027,0.000639027,0.000639027
5,7893.66,1.45703,1.72451,1.54505,0.6356,0.43098,0.46152,0.28169,1.43309,1.6042,1.54921,0.000549036,0.000549036,0.000549036
6,9830.28,1.3736,1.53392,1.48368,0.7044,0.51211,0.56548,0.36842,1.29743,1.41412,1.45117,0.000459045,0.000459045,0.000459045
7,11358.8,1.27589,1.34482,1.41337,0.7472,0.55682,0.61276,0.39081,1.23416,1.24383,1.41739,0.000369054,0.000369054,0.000369054
8,12940.5,1.20431,1.20035,1.37403,0.79845,0.58052,0.66864,0.4324,1.18104,1.16297,1.35393,0.000279063,0.000279063,0.000279063
9,14123.3,1.11685,1.0719,1.30719,0.84341,0.63542,0.70859,0.4906,1.08889,0.99448,1.30376,0.000189072,0.000189072,0.000189072
10,15322.2,1.04981,0.94557,1.25908,0.87128,0.65298,0.73387,0.52654,1.04153,0.90737,1.26724,9.9081e-05,9.9081e-05,9.9081e-05
