epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.404,1.59949,2.5114,1.64763,0.23523,0.29989,0.1834,0.08236,1.78393,3.39283,1.85277,0.000302481,0.000302481,0.000302481
2,375.058,1.78844,2.3586,1.82097,0.44172,0.24522,0.20007,0.10106,1.78122,2.47621,1.8435,0.000545539,0.000545539,0.000545539
3,541.942,1.69944,2.17696,1.73374,0.47752,0.29249,0.24588,0.13023,1.76917,2.25088,1.80955,0.000728602,0.000728602,0.000728602
4,731.576,1.58353,1.98257,1.65931,0.5669,0.34228,0.33473,0.18973,1.50682,1.96845,1.61833,0.000639027,0.000639027,0.000639027
5,902.39,1.47287,1.74703,1.58386,0.60322,0.48666,0.47916,0.277,1.41017,1.57153,1.53152,0.000549036,0.000549036,0.000549036
6,1073.21,1.38075,1.54183,1.50455,0.69041,0.50033,0.55197,0.33602,1.36385,1.42475,1.50936,0.000459045,0.000459045,0.000459045
7,1245.65,1.29198,1.34921,1.44526,0.72311,0.53157,0.58555,0.36666,1.32002,1.34667,1.47003,0.000369054,0.000369054,0.000369054
8,1416.38,1.19663,1.20773,1.37493,0.82002,0.57344,0.67362,0.45325,1.19121,1.12091,1.3773,0.000279063,0.000279063,0.000279063
9,1588.76,1.12899,1.06832,1.32136,0.76401,0.67237,0.72536,0.49693,1.10464,0.98019,1.31954,0.000189072,0.000189072,0.000189072
10,1759.55,1.0611,0.94497,1.27435,0.80849,0.69271,0.76418,0.53324,1.06904,0.91872,1.29187,9.9081e-05,9.9081e-05,9.9081e-05
